0 0 0
1 35 8192
2 278 8192
3 291 8192
4 320 8192
5 1077 8192
6 1086 8192
7 1112 8192
8 1438 8192
9 1449 8192
10 1668 8192
11 1684 8192
12 1714 8192
13 1761 8192
14 2373 8192
15 2576 8192
16 2588 8192
17 2620 8192
18 3366 8192
19 3354 8192
20 3364 8192
21 3430 8192
22 3211 8192
23 3824 8192
24 3842 8192
25 4112 8192
26 4355 8192
27 4487 8192
28 4615 8192
29 5600 8192
30 5907 8192
31 5945 8192
32 6392 8192
33 6411 8192
34 6364 8192
35 6473 8192
36 6732 8192
37 6473 8192
38 6457 8192
39 6465 8192
40 6526 8192
41 5780 8192
42 5454 8192
43 6332 8192
44 6503 8192
45 6682 8192
46 6938 8192
47 6950 8192
48 6193 8192
49 6567 8192
50 6691 8192
51 6679 8192
52 6547 8192
53 6580 8192
54 6545 8192
55 7092 8192
56 7104 8192
57 6848 8192
58 7618 16384
59 7605 16384
60 7692 16384
61 7835 16384
62 8132 16384
63 8414 16384
64 8867 16384
